image,image_path,gt_count,pred_count,tp,fp,fn,predicted_at_least_one_cylinder,matched_at_least_one_cylinder
139_jpg.rf.c657e340d86babd0c4700c9c4e4e7ea5.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\139_jpg.rf.c657e340d86babd0c4700c9c4e4e7ea5.jpg,1,1,1,0,0,True,True
140_jpg.rf.da6c7245ca79dda94549dc9e26d7e220.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\140_jpg.rf.da6c7245ca79dda94549dc9e26d7e220.jpg,14,8,8,0,6,True,True
141_jpg.rf.9f397ce417a99b64e4d449d55b5b8bb1.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\141_jpg.rf.9f397ce417a99b64e4d449d55b5b8bb1.jpg,2,2,2,0,0,True,True
142_jpg.rf.93f616ff0e06912b52ece6d9975ec5bc.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\142_jpg.rf.93f616ff0e06912b52ece6d9975ec5bc.jpg,1,1,1,0,0,True,True
143_jpg.rf.0a850cc26ffd9f86593d83f1bb67787e.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\143_jpg.rf.0a850cc26ffd9f86593d83f1bb67787e.jpg,2,2,2,0,0,True,True
143_jpg.rf.41f529ff3914980014230060ec7263f3.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\143_jpg.rf.41f529ff3914980014230060ec7263f3.jpg,1,1,1,0,0,True,True
144_jpg.rf.6dea04477856a8b115986f08af3dd1ff.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\144_jpg.rf.6dea04477856a8b115986f08af3dd1ff.jpg,5,6,5,1,0,True,True
146_jpg.rf.3d12e05b82ab51efa7498e3a5a7dc4c1.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\146_jpg.rf.3d12e05b82ab51efa7498e3a5a7dc4c1.jpg,1,1,1,0,0,True,True
14_jpg.rf.6f5dfd4bd9e8fdf333ab90ecad63051f.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\14_jpg.rf.6f5dfd4bd9e8fdf333ab90ecad63051f.jpg,1,1,1,0,0,True,True
160_jpg.rf.18c6564c0ab8ac713738fb43eaac574b.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\160_jpg.rf.18c6564c0ab8ac713738fb43eaac574b.jpg,1,1,1,0,0,True,True
162_jpg.rf.ea31304d4d122ca85047a09d165f3259.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\162_jpg.rf.ea31304d4d122ca85047a09d165f3259.jpg,1,1,1,0,0,True,True
163_jpg.rf.8da210de6146fa911f2b7645dbb6163a.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\163_jpg.rf.8da210de6146fa911f2b7645dbb6163a.jpg,1,1,1,0,0,True,True
163_jpg.rf.dfd640d25ae4be9e847b46c47237b0f6.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\163_jpg.rf.dfd640d25ae4be9e847b46c47237b0f6.jpg,1,1,1,0,0,True,True
164_jpg.rf.c94dd4c2958cb7d053786eb7cec28b1f.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\164_jpg.rf.c94dd4c2958cb7d053786eb7cec28b1f.jpg,1,1,1,0,0,True,True
167_jpg.rf.3ef4a127e2533dd22c5f8cdb49b931a6.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\167_jpg.rf.3ef4a127e2533dd22c5f8cdb49b931a6.jpg,15,10,10,0,5,True,True
169_jpg.rf.5937aa704818bc36835c9946a469e446.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\169_jpg.rf.5937aa704818bc36835c9946a469e446.jpg,1,1,1,0,0,True,True
16_png_jpg.rf.e21341359c7b931cc64bbcbc01d4c009.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\16_png_jpg.rf.e21341359c7b931cc64bbcbc01d4c009.jpg,1,1,1,0,0,True,True
170_jpg.rf.105b01779089b099700c62d793dc803d.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\170_jpg.rf.105b01779089b099700c62d793dc803d.jpg,4,4,4,0,0,True,True
172_jpg.rf.538cb93afa8df12d259f57dedb2ee94e.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\172_jpg.rf.538cb93afa8df12d259f57dedb2ee94e.jpg,1,1,1,0,0,True,True
172_jpg.rf.cd4c7471ce4046710ec1ae34cdd917fc.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\172_jpg.rf.cd4c7471ce4046710ec1ae34cdd917fc.jpg,1,1,1,0,0,True,True
175_jpg.rf.5d7879764748b73d6ceac71a88c55420.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\175_jpg.rf.5d7879764748b73d6ceac71a88c55420.jpg,1,1,1,0,0,True,True
